model,kind,base_channels,parameters,corruption,mean_effective_sigma,rmse_to_clean_teacher,binary_accuracy_to_clean_teacher,binary_balanced_accuracy_to_clean_teacher,binary_agreement_with_own_clean_output,mae_from_own_clean_output
diverse,unet,16,761665,clean,0.0,0.21104290374269932,0.8598663330078125,0.8722971099082906,1.0,0.0
diverse,unet,16,761665,awgn_15,14.555205980936686,0.21296205500392054,0.8622810872395833,0.8722530759101318,0.9722939046223958,0.02728900747994582
diverse,unet,16,761665,awgn_50,44.777400970458984,0.24976985337372215,0.8264274088541667,0.8246503834472396,0.8788653564453125,0.09265409658352534
diverse,unet,16,761665,awgn_75,62.56975428263346,0.2797158516919348,0.7919349161783854,0.7889296000312591,0.8382359822591147,0.126411572098732
diverse,unet,16,761665,awgn_100,76.81286112467448,0.3062224711922086,0.760066630045573,0.7606337536709804,0.8089476521809896,0.150976300239563
diverse,unet,16,761665,awgn_125,87.89681752522786,0.32943684543441254,0.7273567708333334,0.7296889582046402,0.7725754801432293,0.17839506268501282
diverse,unet,16,761665,awgn_150,96.28637186686198,0.348674106662026,0.7016620890299479,0.7110200732479377,0.7452037556966147,0.19725891451040903
diverse,unet,16,761665,corr_awgn_25,23.65495491027832,0.3526530022887505,0.6917259724934895,0.6365139071451977,0.635046895345052,0.2437813679377238
diverse,unet,16,761665,corr_awgn_50,44.56797409057617,0.3815458797177851,0.6509427897135417,0.5940447069347731,0.6011655680338542,0.27041175961494446
diverse,unet,16,761665,poisson_peak_30,28.075403849283855,0.22264056378725455,0.8556809488932292,0.860239545735936,0.9353000895182292,0.054351831475893654
diverse,unet,16,761665,poisson_peak_10,46.30804951985677,0.24766636033488834,0.8296269734700521,0.8261966680684348,0.8784585571289063,0.09189372758070628
diverse,unet,16,761665,speckle_std_0.1,11.499993960062662,0.21379961370931477,0.8596530151367188,0.8709762121417894,0.9824622599283854,0.01829170435667038
diverse,unet,16,761665,speckle_std_0.25,27.55811373392741,0.2241830555627438,0.8530615234375,0.8590801154410186,0.9439229329427082,0.049373517433802284
diverse,unet,16,761665,saltpepper_prob_0.01,14.510390281677246,0.21233350345319607,0.8607675170898438,0.8719733960014372,0.981963399251302,0.019117871920267742
diverse,unet,16,761665,saltpepper_prob_0.05,32.52815373738607,0.22544424977502017,0.8540702311197916,0.8607613122950112,0.9427087402343751,0.05424169326821963
diverse,unet,16,761665,sinusoid_amp_15,10.434033393859863,0.22426028203198137,0.8473874918619791,0.8561598590754158,0.9553196207682292,0.02938181348145008
diverse,unet,16,761665,sinusoid_amp_30,20.551355997721355,0.2554064290662206,0.8151741536458333,0.8288562386522029,0.9138075764973959,0.0636447047193845
distilled,unet,16,761665,clean,0.0,0.2114734517120624,0.867005615234375,0.873154667515304,1.0,0.0
distilled,unet,16,761665,awgn_15,14.555205980936686,0.2152558623903033,0.86305419921875,0.8673872783536902,0.9748118082682291,0.01921142575641473
distilled,unet,16,761665,awgn_50,44.777400970458984,0.25039841042418726,0.8249447631835938,0.8314743147938481,0.9098690795898436,0.07060680041710536
distilled,unet,16,761665,awgn_75,62.56975428263346,0.2811058376412473,0.7910399373372395,0.8027118223667462,0.8668545532226561,0.10435086488723755
distilled,unet,16,761665,awgn_100,76.81286112467448,0.31115990204713156,0.7541216023763021,0.7716283163691362,0.8203897094726562,0.13456058502197266
distilled,unet,16,761665,awgn_125,87.89681752522786,0.3373038998751237,0.7192660522460937,0.740452244383986,0.7782500203450521,0.16597853104273477
distilled,unet,16,761665,awgn_150,96.28637186686198,0.3674049641588751,0.6786542765299479,0.7055548111793513,0.7298707071940104,0.19668283065160116
distilled,unet,16,761665,corr_awgn_25,23.65495491027832,0.319956336396235,0.7531070963541666,0.7145659812411036,0.7505495198567709,0.19608971973260245
distilled,unet,16,761665,corr_awgn_50,44.56797409057617,0.35680821343249314,0.7050669352213542,0.6550643271598254,0.684456787109375,0.23951161404450735
distilled,unet,16,761665,poisson_peak_30,28.075403849283855,0.22555833874852124,0.8513694254557291,0.8543519494401342,0.9502065022786458,0.03873864312966665
distilled,unet,16,761665,poisson_peak_10,46.30804951985677,0.2476851006765253,0.8276919555664063,0.8328370818322556,0.9158432006835936,0.0663723349571228
distilled,unet,16,761665,speckle_std_0.1,11.499993960062662,0.21404329486450607,0.8648057047526042,0.8698163844073425,0.9830511474609375,0.013356249469021956
distilled,unet,16,761665,speckle_std_0.25,27.55811373392741,0.22638423039059727,0.8515705362955729,0.8553483825346072,0.954703877766927,0.03683163349827131
distilled,unet,16,761665,saltpepper_prob_0.01,14.510390281677246,0.213690526847453,0.8648695882161458,0.8692079646529307,0.9807989501953124,0.016320161521434784
distilled,unet,16,761665,saltpepper_prob_0.05,32.52815373738607,0.22811775923006042,0.8492435709635416,0.8492885626226265,0.9418221028645833,0.04818804065386454
distilled,unet,16,761665,sinusoid_amp_15,10.434033393859863,0.22148298309893674,0.856454366048177,0.8593496698899985,0.9635580444335937,0.02447633445262909
distilled,unet,16,761665,sinusoid_amp_30,20.551355997721355,0.2510526157997727,0.8254791259765625,0.8341164580644994,0.9165431722005208,0.06058179338773092
large,unet,32,3043969,clean,0.0,0.15943792685490574,0.9119912719726563,0.9131387801482589,1.0,0.0
large,unet,32,3043969,awgn_15,14.555205980936686,0.1987934268505658,0.8776266479492187,0.8673276255410253,0.9276314290364583,0.05864042912920316
large,unet,32,3043969,awgn_50,44.777400970458984,0.2412253695510682,0.8289472452799479,0.82802115493732,0.8735968017578125,0.09689490000406902
large,unet,32,3043969,awgn_75,62.56975428263346,0.26408355194025707,0.8078922526041666,0.8107099828693514,0.8462118530273438,0.12324515730142593
large,unet,32,3043969,awgn_100,76.81286112467448,0.2820481624523643,0.7856971232096354,0.7889170825059119,0.8182794189453125,0.14518387615680695
large,unet,32,3043969,awgn_125,87.89681752522786,0.2999198576932566,0.7641022745768229,0.7623381036603352,0.7893697102864584,0.16963990529378256
large,unet,32,3043969,awgn_150,96.28637186686198,0.3139515375030174,0.747910868326823,0.7448688200244007,0.7672281901041668,0.18850424389044443
large,unet,32,3043969,corr_awgn_25,23.65495491027832,0.2979359561813534,0.7749614461263021,0.7630492196785066,0.8011061604817709,0.16455504298210144
large,unet,32,3043969,corr_awgn_50,44.56797409057617,0.32603208209678924,0.7323966471354166,0.7231221416349103,0.7465274047851563,0.20520992080370584
large,unet,32,3043969,poisson_peak_30,28.075403849283855,0.2108802956418866,0.8635050455729166,0.8558135124429784,0.9114920043945313,0.06901299705108006
large,unet,32,3043969,poisson_peak_10,46.30804951985677,0.23883015558454057,0.8338007609049479,0.8303537448187723,0.8773817952473958,0.09459978093703587
large,unet,32,3043969,speckle_std_0.1,11.499993960062662,0.1898044575512164,0.8867378743489583,0.8808581661051433,0.950559590657552,0.03941901152332624
large,unet,32,3043969,speckle_std_0.25,27.55811373392741,0.20179071916893362,0.8754066975911459,0.8714644365234779,0.9293274943033855,0.058261421819527946
large,unet,32,3043969,saltpepper_prob_0.01,14.510390281677246,0.16809299644086273,0.906599629720052,0.9064434767974402,0.9818949381510417,0.019279439623157184
large,unet,32,3043969,saltpepper_prob_0.05,32.52815373738607,0.19315701670385768,0.883103739420573,0.8846561949687194,0.947982177734375,0.04718086992700895
large,unet,32,3043969,sinusoid_amp_15,10.434033393859863,0.21062922611002843,0.8673580932617188,0.8657906595391658,0.9275433349609375,0.053553404907385506
large,unet,32,3043969,sinusoid_amp_30,20.551355997721355,0.24358824803872714,0.834669189453125,0.8430411678783307,0.8791065470377605,0.09649607787529628
