model,kind,base_channels,parameters,corruption,mean_effective_sigma,rmse_to_clean_teacher,binary_accuracy_to_clean_teacher,binary_balanced_accuracy_to_clean_teacher,binary_agreement_with_own_clean_output,mae_from_own_clean_output
baseline_awgn50,unet,16,761665,clean,0.0,0.20951385385855856,0.8623919677734375,0.8713759007081922,1.0,0.0
baseline_awgn50,unet,16,761665,awgn_15,14.555205980936686,0.20837217738389383,0.8613958740234375,0.8677728093041792,0.9718060302734375,0.02279789683719476
baseline_awgn50,unet,16,761665,awgn_50,44.777400970458984,0.24561196262413315,0.8285373942057291,0.8112504483894862,0.8403560384114583,0.1326616903146108
baseline_awgn50,unet,16,761665,awgn_75,62.56975428263346,0.36431972841512306,0.7085271199544271,0.6523033034639971,0.6583228556315104,0.2635784447193146
baseline_awgn50,unet,16,761665,awgn_100,76.81286112467448,0.46112996854560717,0.6205035400390625,0.5409160464033819,0.5502345784505209,0.35869768261909485
baseline_awgn50,unet,16,761665,awgn_125,87.89681752522786,0.5145966971251822,0.5920074462890625,0.5055077375244355,0.5188051350911458,0.4079259733359019
baseline_awgn50,unet,16,761665,awgn_150,96.28637186686198,0.5361271096100382,0.5884181722005208,0.5010195966814813,0.5148213704427084,0.4275783995787303
baseline_awgn50,unet,16,761665,corr_awgn_25,23.65495491027832,0.4469259256871534,0.6485536702473959,0.5752142102829438,0.5818298339843749,0.34618592262268066
baseline_awgn50,unet,16,761665,corr_awgn_50,44.56797409057617,0.5590314946814966,0.5881368001302083,0.5006152567236387,0.5143929036458333,0.45634109775225323
baseline_awgn50,unet,16,761665,poisson_peak_30,28.075403849283855,0.2108769263271468,0.8577701822916667,0.8555269990146048,0.9242384847005208,0.06231125071644783
baseline_awgn50,unet,16,761665,poisson_peak_10,46.30804951985677,0.2737461235303747,0.8053105672200521,0.7779908247490658,0.8020254516601563,0.16118204096953073
baseline_awgn50,unet,16,761665,speckle_std_0.1,11.499993960062662,0.2097585400948382,0.8618700154622396,0.8694871852867128,0.9818958536783855,0.015913520008325577
