model,kind,base_channels,parameters,corruption,mean_effective_sigma,rmse_to_clean_teacher,binary_accuracy_to_clean_teacher,binary_balanced_accuracy_to_clean_teacher,binary_agreement_with_own_clean_output,mae_from_own_clean_output
awgn_s1,unet,16,761665,clean,0.0,0.16613752329892834,0.90136474609375,0.9003787736133197,1.0,0.0
awgn_s1,unet,16,761665,awgn_15,14.555205980936686,0.1898793451103973,0.8833792114257812,0.8739598037572246,0.9489964803059895,0.04262011746565501
awgn_s1,unet,16,761665,awgn_50,44.777400970458984,0.2313080079223884,0.8385313924153646,0.835310029714292,0.8984447224934895,0.08083139608303706
awgn_s1,unet,16,761665,awgn_75,62.56975428263346,0.2601491216973437,0.8074997965494791,0.8100241576204039,0.8624381510416667,0.11398926625649135
awgn_s1,unet,16,761665,awgn_100,76.81286112467448,0.2843622581695156,0.7784828694661459,0.7843245849721077,0.8253344726562499,0.1429877628882726
awgn_s1,unet,16,761665,awgn_125,87.89681752522786,0.30782214996886587,0.7499141438802084,0.7537116688951901,0.7908601888020833,0.1729788879553477
awgn_s1,unet,16,761665,awgn_150,96.28637186686198,0.32751575524909693,0.7238399251302083,0.7281973106631728,0.7574015299479168,0.19823209444681802
awgn_s1,unet,16,761665,corr_awgn_25,23.65495491027832,0.5085927575508316,0.6010274251302083,0.5163702758927801,0.5898944091796875,0.35111746191978455
awgn_s1,unet,16,761665,corr_awgn_50,44.56797409057617,0.5557705277214687,0.587711181640625,0.5000904636665137,0.5758831787109374,0.39890844623247784
awgn_s1,unet,16,761665,poisson_peak_30,28.075403849283855,0.2063685420030817,0.8624972534179688,0.8532266938133528,0.927227274576823,0.05539065599441528
awgn_s1,unet,16,761665,poisson_peak_10,46.30804951985677,0.22943563965515815,0.841124267578125,0.8358231278503936,0.9006402587890626,0.07896663496891658
awgn_s1,unet,16,761665,speckle_std_0.1,11.499993960062662,0.18429837769951918,0.8902085367838541,0.8836728231926589,0.9663765462239583,0.03189201777180036
awgn_s1,unet,16,761665,speckle_std_0.25,27.55811373392741,0.20302591407589826,0.8670482381184896,0.8598037068461424,0.9356981404622396,0.0505748043457667
awgn_s1,unet,16,761665,saltpepper_prob_0.01,14.510390281677246,0.18204164483092306,0.8921798706054688,0.8839094182938607,0.9592320760091146,0.03768924872080485
awgn_s1,unet,16,761665,saltpepper_prob_0.05,32.52815373738607,0.22449674172986106,0.8435167439778646,0.8221203833945007,0.8884111531575521,0.08207019666830699
awgn_s1,unet,16,761665,sinusoid_amp_15,10.434033393859863,0.24448104633421325,0.8480259195963542,0.8302720571351256,0.9052884928385416,0.07598880678415298
awgn_s1,unet,16,761665,sinusoid_amp_30,20.551355997721355,0.32548420301494346,0.793949483235677,0.7712033633239179,0.8389242553710937,0.14346743126710257
awgn_s2,unet,16,761665,clean,0.0,0.1614003690399206,0.906212158203125,0.910612499882762,1.0,0.0
awgn_s2,unet,16,761665,awgn_15,14.555205980936686,0.17495705057314503,0.9012941487630208,0.8983863351222012,0.9492211914062499,0.04442340383927027
awgn_s2,unet,16,761665,awgn_50,44.777400970458984,0.2246322142883987,0.8461930338541667,0.8435969992624338,0.8883315022786459,0.08383691062529881
