model_group,corruption,mean_accuracy,std_accuracy
AWGN small,clean,0.9038989257812499,0.0024312474802391563
AWGN small,awgn_50,0.8407177734375,0.004773649875935775
AWGN small,awgn_100,0.7817248196072049,0.005694693341600898
AWGN small,corr_awgn_50,0.5876873101128472,4.038151177534429e-05
AWGN small,poisson_peak_10,0.8417906019422743,0.0016711434212943483
AWGN small,sinusoid_amp_30,0.7788110690646701,0.017692643662197
AWGN conditional,clean,0.9149991861979166,0.00976868326619314
AWGN conditional,awgn_50,0.8436035834418404,0.004717634992215252
AWGN conditional,awgn_100,0.7888921101888021,0.0021872873359008527
AWGN conditional,corr_awgn_50,0.5936939832899305,0.004492978519709843
AWGN conditional,poisson_peak_10,0.8366087849934895,0.002807845713579867
AWGN conditional,sinusoid_amp_30,0.8071641031901041,0.02376268158674852
AWGN large,clean,0.9300147501627604,0.013902977990896702
AWGN large,awgn_50,0.8426608954535589,0.00260726791998335
AWGN large,awgn_100,0.790951673719618,0.005445639093038288
AWGN large,corr_awgn_50,0.5876382107204862,4.698488518471015e-07
AWGN large,poisson_peak_10,0.8474748738606772,0.0013013627164269383
AWGN large,sinusoid_amp_30,0.7576466539171007,0.04000118179794791
Diverse small,clean,0.8711004638671875,0.013016029335172308
Diverse small,awgn_50,0.8219118584526909,0.005331061894134345
Diverse small,awgn_100,0.7580311075846354,0.005463025938620783
Diverse small,corr_awgn_50,0.6898688083224825,0.03414057523127247
Diverse small,poisson_peak_10,0.8268756442599826,0.002665030706087715
Diverse small,sinusoid_amp_30,0.8222427368164062,0.010558125024154345
Diverse conditional,clean,0.9167737833658854,0.01455391482826612
Diverse conditional,awgn_50,0.7983528984917534,0.018818124598069627
Diverse conditional,awgn_100,0.7356489732530381,0.032643621397003594
Diverse conditional,corr_awgn_50,0.7333985731336806,0.01598687523273956
Diverse conditional,poisson_peak_10,0.7968849351671007,0.017526783273379785
Diverse conditional,sinusoid_amp_30,0.8450067816840279,0.006074683675126111
Diverse large,clean,0.9074152628580728,0.013023007804183223
Diverse large,awgn_50,0.8333742268880209,0.0061376609158924275
Diverse large,awgn_100,0.7837263658311632,0.005945817221998313
Diverse large,corr_awgn_50,0.7283026801215278,0.004932287476268823
Diverse large,poisson_peak_10,0.8373655870225694,0.00761889413202575
Diverse large,sinusoid_amp_30,0.830875244140625,0.015887985840239222
