model,true_nominal_sigma,mean_effective_sigma,supplied_sigma,rmse,binary_accuracy,binary_balanced_accuracy
awgn50_conditional,50.0,44.79533004760742,0,0.5742587151432023,0.587637939453125,0.5
awgn50_conditional,50.0,44.79533004760742,25,0.5167049420002373,0.6012468465169271,0.5166142560434195
awgn50_conditional,50.0,44.79533004760742,50,0.25257348513565914,0.8202254231770834,0.8354923114759581
awgn50_conditional,50.0,44.79533004760742,75,0.42502401595984823,0.64049560546875,0.6926735701347578
awgn50_conditional,50.0,44.79533004760742,100,0.5129577510527109,0.5420399983723958,0.609707159710515
awgn50_conditional,50.0,44.79533004760742,125,0.5635504417900518,0.49442667643229166,0.5693847170457351
awgn50_conditional,50.0,44.79533004760742,150,0.5932633564889634,0.4710090128580729,0.5495162361763914
awgn50_conditional,50.0,44.79533004760742,oracle_effective,0.22483855925584573,0.8452953084309895,0.8440041162391152
awgn50_conditional,100.0,76.86820220947266,0,0.5802501925271316,0.587637939453125,0.5
awgn50_conditional,100.0,76.86820220947266,25,0.5761823946916438,0.587637939453125,0.5
awgn50_conditional,100.0,76.86820220947266,50,0.5570637463783441,0.5891008504231771,0.5017947522186581
awgn50_conditional,100.0,76.86820220947266,75,0.35678933301768523,0.7195786539713541,0.6870377195252244
awgn50_conditional,100.0,76.86820220947266,100,0.42208682892039795,0.6330950927734375,0.6832728958005447
awgn50_conditional,100.0,76.86820220947266,125,0.5442775085067465,0.5012896728515625,0.5748000762982014
awgn50_conditional,100.0,76.86820220947266,150,0.5973479999139142,0.4571033732096354,0.5377511647061124
awgn50_conditional,100.0,76.86820220947266,oracle_effective,0.31584068597900467,0.7511876424153646,0.7301570870997438
awgn100_conditional,50.0,44.79533004760742,0,0.5127586304601534,0.5880861409505208,0.5005547508723258
awgn100_conditional,50.0,44.79533004760742,25,0.4350056578338599,0.6419847615559896,0.567375975563792
awgn100_conditional,50.0,44.79533004760742,50,0.2462864137317423,0.8254069010416667,0.8358737660098032
awgn100_conditional,50.0,44.79533004760742,75,0.3511465206996341,0.7223545328776042,0.7588680578068352
awgn100_conditional,50.0,44.79533004760742,100,0.40927492877939176,0.655091552734375,0.7034942385396467
awgn100_conditional,50.0,44.79533004760742,125,0.4556075348737787,0.6026454671223959,0.6599428467429527
awgn100_conditional,50.0,44.79533004760742,150,0.4922231499151841,0.5645290120442709,0.6279855559035543
awgn100_conditional,50.0,44.79533004760742,oracle_effective,0.2259287695490028,0.8431456502278646,0.8437154192599451
awgn100_conditional,100.0,76.86820220947266,0,0.5645467867216976,0.587637939453125,0.5
awgn100_conditional,100.0,76.86820220947266,25,0.5489550225947101,0.5876420084635416,0.5000049705739138
awgn100_conditional,100.0,76.86820220947266,50,0.47867587064874706,0.6085733032226562,0.5259447447042345
awgn100_conditional,100.0,76.86820220947266,75,0.2756153214449563,0.7927603149414062,0.7927570478034244
awgn100_conditional,100.0,76.86820220947266,100,0.36440358387142496,0.6929167683919271,0.7313516405419282
awgn100_conditional,100.0,76.86820220947266,125,0.445147598486848,0.5978504435221355,0.6551996793487342
awgn100_conditional,100.0,76.86820220947266,150,0.49882544638974186,0.5427826944986979,0.6095180457043985
awgn100_conditional,100.0,76.86820220947266,oracle_effective,0.2817368042027218,0.7851627604166667,0.791791081569613
diverse_conditional_oracle,50.0,44.79533004760742,0,0.500258373936701,0.5901077270507813,0.5030052053589493
diverse_conditional_oracle,50.0,44.79533004760742,25,0.30834973318166903,0.7443601481119791,0.6995840230714386
diverse_conditional_oracle,50.0,44.79533004760742,50,0.27853926886393054,0.802720438639323,0.8138078719068434
