model,kind,base_channels,parameters,corruption,mean_effective_sigma,rmse_to_clean_teacher,binary_accuracy_to_clean_teacher,binary_balanced_accuracy_to_clean_teacher,binary_agreement_with_own_clean_output,mae_from_own_clean_output
compact,unet,16,761665,clean,0.0,0.17149675412048268,0.9130429077148438,0.9131911962189146,1.0,0.0
compact,unet,16,761665,awgn_15,14.555205980936686,0.1721864876677868,0.9121505737304687,0.9122878484157875,0.9885797119140625,0.011127435291806856
compact,unet,16,761665,awgn_50,44.777400970458984,0.2029849315235008,0.883544921875,0.8835553565530555,0.9358059692382813,0.06832243502140045
compact,unet,16,761665,awgn_75,62.56975428263346,0.23770860543659827,0.8593668619791667,0.8594524400651196,0.908179219563802,0.10966155181328456
compact,unet,16,761665,awgn_100,76.81286112467448,0.2717746591300632,0.8247550455729167,0.8250636705162673,0.8711451212565104,0.14775577187538147
compact,unet,16,761665,awgn_125,87.89681752522786,0.30743329298401384,0.7791538492838541,0.779734732777478,0.8201496378580728,0.19094624618689218
compact,unet,16,761665,awgn_150,96.28637186686198,0.3388813017112731,0.7333046468098958,0.7341592325481515,0.7681588745117187,0.22778333723545074
compact,unet,16,761665,corr_awgn_25,23.65495491027832,0.29407219726982486,0.7779881795247395,0.7771868734024086,0.7857515462239583,0.17956122756004333
compact,unet,16,761665,corr_awgn_50,44.56797409057617,0.3856383397913012,0.6730833943684896,0.6716919769196189,0.6554162597656249,0.283614049355189
compact,unet,16,761665,poisson_peak_30,28.075403849283855,0.17550001032063392,0.9060299682617188,0.9060745202748286,0.9655826822916667,0.033943875382343926
compact,unet,16,761665,poisson_peak_10,46.30804951985677,0.20572360757232794,0.8814497884114584,0.8813872917532517,0.9271332804361979,0.07727109144131343
compact,unet,16,761665,speckle_std_0.1,11.499993960062662,0.17161463563993423,0.912083028157552,0.9122143640670974,0.9909670003255208,0.008593881192306677
compact,unet,16,761665,speckle_std_0.25,27.55811373392741,0.17540834471875,0.9059044392903646,0.905953786985241,0.9671608479817708,0.03244989489515623
compact,unet,16,761665,saltpepper_prob_0.01,14.510390281677246,0.17103541119734922,0.912511698404948,0.9126314300799885,0.9875728352864583,0.01264692253122727
compact,unet,16,761665,saltpepper_prob_0.05,32.52815373738607,0.18384540252978207,0.901780497233073,0.9017958672373765,0.957381591796875,0.04926777258515358
compact,unet,16,761665,sinusoid_amp_15,10.434033393859863,0.1749248311671961,0.909287821451823,0.9094180916641759,0.9866402180989583,0.012013651430606842
compact,unet,16,761665,sinusoid_amp_30,20.551355997721355,0.19144900377740354,0.8986868286132812,0.8988299940152837,0.9641703287760417,0.034839026629924774
large,unet,32,3043969,clean,0.0,0.14142842443066575,0.9262869262695312,0.9264608512698412,1.0,0.0
large,unet,32,3043969,awgn_15,14.555205980936686,0.1436716957306072,0.9260610961914062,0.926176263625951,0.9816465250651042,0.0163870503505071
large,unet,32,3043969,awgn_50,44.777400970458984,0.18421202181728302,0.8999195353190104,0.9000311280172004,0.9451776123046874,0.053159582118193306
large,unet,32,3043969,awgn_75,62.56975428263346,0.22225738575183707,0.8740994262695313,0.8743800386427956,0.9194976806640626,0.08411650359630585
large,unet,32,3043969,awgn_100,76.81286112467448,0.26976077434187007,0.8345852661132812,0.8350955096712793,0.8765506998697917,0.12417238454023997
large,unet,32,3043969,awgn_125,87.89681752522786,0.31428690150864175,0.7923775227864583,0.7931016208594501,0.8309695434570313,0.1662499060233434
large,unet,32,3043969,awgn_150,96.28637186686198,0.35859526848431617,0.7443671671549479,0.7453300454408552,0.7817616780598958,0.20475282768408457
large,unet,32,3043969,corr_awgn_25,23.65495491027832,0.2804700156650186,0.8168320719401042,0.8163525957890007,0.8229816691080729,0.17890221377213797
large,unet,32,3043969,corr_awgn_50,44.56797409057617,0.31570850594576283,0.777355448404948,0.7770853441977863,0.7903338623046875,0.21864187717437744
