image,sigma,target_mean,target_fraction_high,direct_mean,G_mean,G_fraction_high,G_binary_accuracy,G_pearson
01_flat,0.0,0.007235795725136995,0.0,0.007235795725136995,0.061182111501693726,0.0,1.0,0.8736003713875051
01_flat,15.0,0.007235795725136995,0.0,0.9264565706253052,0.08553410321474075,0.0,1.0,0.7484006247095971
01_flat,50.0,0.007235795725136995,0.0,0.9991723299026489,0.23333173990249634,0.027812957763671875,0.9721870422363281,0.28661736654694575
02_single_edge,0.0,0.02126503549516201,0.01171875,0.02126503549516201,0.08101373165845871,0.0178680419921875,0.9938507080078125,0.9181945388055787
02_single_edge,15.0,0.02126503549516201,0.01171875,0.9345496892929077,0.10757147520780563,0.019313812255859375,0.9924049377441406,0.8847387754759249
02_single_edge,50.0,0.02126503549516201,0.01171875,0.9990512132644653,0.2516056001186371,0.06984329223632812,0.9418754577636719,0.5969259171712801
03_smooth_gradient,0.0,0.008876322768628597,0.0,0.008876322768628597,0.0529433935880661,0.0,1.0,0.26179024918006766
03_smooth_gradient,15.0,0.008876322768628597,0.0,0.931674063205719,0.07591179758310318,0.0,1.0,0.2891369018160283
03_smooth_gradient,50.0,0.008876322768628597,0.0,0.9990389943122864,0.21646130084991455,0.015575408935546875,0.9844245910644531,0.12739163167705098
04_checker_4px,0.0,1.0,1.0,1.0,0.04906628280878067,0.0,0.0,-0.3214994040521883
04_checker_4px,15.0,1.0,1.0,1.0,0.0497836098074913,0.0,0.0,-0.3181478773876045
04_checker_4px,50.0,1.0,1.0,1.0,0.09305360913276672,0.000888824462890625,0.000888824462890625,-0.25000421007514884
05_low_contrast_texture,0.0,0.03659684956073761,0.0,0.03659684956073761,0.6086644530296326,0.9992637634277344,0.000736236572265625,0.08469408898495756
05_low_contrast_texture,15.0,0.03659684956073761,0.0,0.937086820602417,0.649718701839447,0.9915695190429688,0.00843048095703125,0.02350789317711746
05_low_contrast_texture,50.0,0.03659684956073761,0.0,0.9991378784179688,0.7957202792167664,0.9785270690917969,0.021472930908203125,0.03242198959192139
07_text_and_lines,0.0,0.33296748995780945,0.3304252624511719,0.33296748995780945,0.4499398469924927,0.38112640380859375,0.9485664367675781,0.9684716547852161
07_text_and_lines,15.0,0.33296748995780945,0.3304252624511719,0.9533205628395081,0.46688196063041687,0.3963661193847656,0.9339370727539062,0.9619007106268056
07_text_and_lines,50.0,0.33296748995780945,0.3304252624511719,0.9987478256225586,0.5760970115661621,0.51416015625,0.8162651062011719,0.9037446129515064
08_texture_contrast_ramp,0.0,0.0910271480679512,0.0,0.0910271480679512,0.5339963436126709,0.5175399780273438,0.48246002197265625,0.8169120434504972
08_texture_contrast_ramp,15.0,0.0910271480679512,0.0,0.9425418972969055,0.563098132610321,0.5411300659179688,0.45886993408203125,0.8025110437439497
08_texture_contrast_ramp,50.0,0.0910271480679512,0.0,0.9992101788520813,0.683190107345581,0.6823806762695312,0.31761932373046875,0.6915443141752129
