model,kind,parameters,corruption,mean_effective_sigma,accuracy,recall,specificity,auroc
paired100,spatial32,39777,clean,0.0,0.982,0.976,0.988,0.996229
paired100,spatial32,39777,awgn_15,14.110708045959473,0.9808,0.9726,0.989,0.9959072
paired100,spatial32,39777,awgn_50,43.03029174804688,0.9735,0.9602,0.9868,0.99378204
paired100,spatial32,39777,awgn_100,75.38477172851563,0.9336,0.9444,0.9228,0.98336548
paired100,spatial32,39777,corr_awgn_25,22.40528259277344,0.7245,0.9984,0.4506,0.9867999
paired100,spatial32,39777,corr_awgn_50,42.20136642456055,0.5497,1.0,0.0994,0.9507695
paired100,spatial32,39777,poisson_peak_30,27.48263053894043,0.9808,0.9706,0.991,0.99589136
paired100,spatial32,39777,poisson_peak_10,45.09446716308594,0.9714,0.958,0.9848,0.9938718
paired100,spatial32,39777,speckle_std_0.1,12.08164176940918,0.9815,0.9732,0.9898,0.99652384
paired100,spatial32,39777,speckle_std_0.25,28.551174926757813,0.9799,0.9686,0.9912,0.99630004
paired100,spatial32,39777,saltpepper_prob_0.01,14.77031135559082,0.9771,0.978,0.9762,0.9953305
paired100,spatial32,39777,saltpepper_prob_0.05,33.611602020263675,0.9594,0.9716,0.9472,0.99288672
paired100,spatial32,39777,sinusoid_amp_15,10.16884708404541,0.9568,0.9836,0.93,0.99439574
paired100,spatial32,39777,sinusoid_amp_30,19.899620819091798,0.8532,0.9856,0.7208,0.98503768
conditioned100,spatial32_conditional,42401,clean,0.0,0.9805,0.973,0.988,0.99656
conditioned100,spatial32_conditional,42401,awgn_15,14.110708045959473,0.9794,0.9696,0.9892,0.99650216
conditioned100,spatial32_conditional,42401,awgn_50,43.03029174804688,0.972,0.9606,0.9834,0.99383592
conditioned100,spatial32_conditional,42401,awgn_100,75.38477172851563,0.9267,0.9444,0.909,0.98083612
conditioned100,spatial32_conditional,42401,corr_awgn_25,22.40528259277344,0.7376,0.9976,0.4776,0.98810342
conditioned100,spatial32_conditional,42401,corr_awgn_50,42.20136642456055,0.56,1.0,0.12,0.96171152
conditioned100,spatial32_conditional,42401,poisson_peak_30,27.48263053894043,0.9777,0.9654,0.99,0.99621386
conditioned100,spatial32_conditional,42401,poisson_peak_10,45.09446716308594,0.9715,0.9578,0.9852,0.99322716
conditioned100,spatial32_conditional,42401,speckle_std_0.1,12.08164176940918,0.9791,0.9694,0.9888,0.99679352
conditioned100,spatial32_conditional,42401,speckle_std_0.25,28.551174926757813,0.976,0.9632,0.9888,0.9964348
conditioned100,spatial32_conditional,42401,saltpepper_prob_0.01,14.77031135559082,0.9799,0.9774,0.9824,0.99538364
