model,kind,parameters,corruption,mean_effective_sigma,accuracy,recall,specificity,auroc
alpha025,spatial32,39777,clean,0.0,0.967,0.945,0.989,0.994039
alpha025,spatial32,39777,awgn_15,14.110708045959473,0.9665,0.943,0.99,0.99449128
alpha025,spatial32,39777,awgn_50,43.03029174804688,0.9664,0.9446,0.9882,0.9908934
alpha025,spatial32,39777,awgn_100,75.38477172851563,0.9334,0.9444,0.9224,0.98205136
alpha025,spatial32,39777,corr_awgn_25,22.40528259277344,0.9153,0.9732,0.8574,0.98648576
alpha025,spatial32,39777,corr_awgn_50,42.20136642456055,0.7941,0.9902,0.598,0.9718602
alpha025,spatial32,39777,poisson_peak_30,27.48263053894043,0.9661,0.9424,0.9898,0.99250844
alpha025,spatial32,39777,poisson_peak_10,45.09446716308594,0.9636,0.9422,0.985,0.98847612
alpha025,spatial32,39777,speckle_std_0.1,12.08164176940918,0.9666,0.9436,0.9896,0.99454208
alpha025,spatial32,39777,speckle_std_0.25,28.551174926757813,0.9659,0.9422,0.9896,0.99208044
alpha025,spatial32,39777,saltpepper_prob_0.01,14.77031135559082,0.968,0.9474,0.9886,0.99237308
alpha025,spatial32,39777,saltpepper_prob_0.05,33.611602020263675,0.9705,0.9526,0.9884,0.99118904
alpha025,spatial32,39777,sinusoid_amp_15,10.16884708404541,0.9701,0.9516,0.9886,0.99327092
alpha025,spatial32,39777,sinusoid_amp_30,19.899620819091798,0.9719,0.9588,0.985,0.99122208
alpha050,spatial32,39777,clean,0.0,0.963,0.936,0.99,0.993418
alpha050,spatial32,39777,awgn_15,14.110708045959473,0.9615,0.932,0.991,0.99303596
alpha050,spatial32,39777,awgn_50,43.03029174804688,0.9616,0.9334,0.9898,0.99132036
alpha050,spatial32,39777,awgn_100,75.38477172851563,0.9395,0.9248,0.9542,0.98184416
alpha050,spatial32,39777,corr_awgn_25,22.40528259277344,0.9156,0.9636,0.8676,0.98461042
alpha050,spatial32,39777,corr_awgn_50,42.20136642456055,0.8211,0.986,0.6562,0.97148764
alpha050,spatial32,39777,poisson_peak_30,27.48263053894043,0.9617,0.9324,0.991,0.99212618
alpha050,spatial32,39777,poisson_peak_10,45.09446716308594,0.9621,0.935,0.9892,0.98905104
alpha050,spatial32,39777,speckle_std_0.1,12.08164176940918,0.9639,0.9368,0.991,0.99274936
alpha050,spatial32,39777,speckle_std_0.25,28.551174926757813,0.9625,0.9342,0.9908,0.99219068
alpha050,spatial32,39777,saltpepper_prob_0.01,14.77031135559082,0.9648,0.9396,0.99,0.99162086
alpha050,spatial32,39777,saltpepper_prob_0.05,33.611602020263675,0.9641,0.9378,0.9904,0.99095464
alpha050,spatial32,39777,sinusoid_amp_15,10.16884708404541,0.9667,0.9438,0.9896,0.99227616
alpha050,spatial32,39777,sinusoid_amp_30,19.899620819091798,0.9607,0.951,0.9704,0.98964028
alpha075,spatial32,39777,clean,0.0,0.9695,0.948,0.991,0.994
alpha075,spatial32,39777,awgn_15,14.110708045959473,0.9666,0.9428,0.9904,0.99377008
alpha075,spatial32,39777,awgn_50,43.03029174804688,0.9647,0.9376,0.9918,0.99228746
alpha075,spatial32,39777,awgn_100,75.38477172851563,0.9451,0.9206,0.9696,0.98512856
alpha075,spatial32,39777,corr_awgn_25,22.40528259277344,0.9051,0.9742,0.836,0.98331268
alpha075,spatial32,39777,corr_awgn_50,42.20136642456055,0.807,0.9874,0.6266,0.97164386
alpha075,spatial32,39777,poisson_peak_30,27.48263053894043,0.9641,0.9374,0.9908,0.99255962
alpha075,spatial32,39777,poisson_peak_10,45.09446716308594,0.9625,0.9344,0.9906,0.98952158
alpha075,spatial32,39777,speckle_std_0.1,12.08164176940918,0.9668,0.9426,0.991,0.99363684
alpha075,spatial32,39777,speckle_std_0.25,28.551174926757813,0.9646,0.9382,0.991,0.99253528
alpha075,spatial32,39777,saltpepper_prob_0.01,14.77031135559082,0.9675,0.9444,0.9906,0.99284348
alpha075,spatial32,39777,saltpepper_prob_0.05,33.611602020263675,0.963,0.9352,0.9908,0.99104456
alpha075,spatial32,39777,sinusoid_amp_15,10.16884708404541,0.9708,0.9518,0.9898,0.9927408
alpha075,spatial32,39777,sinusoid_amp_30,19.899620819091798,0.9613,0.9576,0.965,0.99013308
teacher,spatial32_large,633729,clean,0.0,0.9765,0.967,0.986,0.995756
teacher,spatial32_large,633729,awgn_15,14.110708045959473,0.9755,0.9624,0.9886,0.99519556
