model,kind,parameters,corruption,mean_effective_sigma,accuracy,recall,specificity,auroc
cond_seed1,spatial32_conditional,42401,clean,0.0,0.985,0.98,0.99,0.9979455
cond_seed1,spatial32_conditional,42401,awgn_15,14.110708045959473,0.9857,0.981,0.9904,0.99780148
cond_seed1,spatial32_conditional,42401,awgn_50,43.03029174804688,0.974,0.9542,0.9938,0.99413608
cond_seed1,spatial32_conditional,42401,awgn_100,75.38477172851563,0.9166,0.9162,0.917,0.9749652
cond_seed1,spatial32_conditional,42401,corr_awgn_25,22.40528259277344,0.9819,0.9712,0.9926,0.99626096
cond_seed1,spatial32_conditional,42401,corr_awgn_50,42.20136642456055,0.9406,0.9492,0.932,0.98631004
cond_seed1,spatial32_conditional,42401,poisson_peak_30,27.48263053894043,0.9824,0.9726,0.9922,0.99633988
cond_seed1,spatial32_conditional,42401,poisson_peak_10,45.09446716308594,0.975,0.9628,0.9872,0.99246256
cond_seed1,spatial32_conditional,42401,speckle_std_0.1,12.08164176940918,0.9859,0.9804,0.9914,0.99835256
cond_seed1,spatial32_conditional,42401,speckle_std_0.25,28.551174926757813,0.9819,0.972,0.9918,0.99646784
cond_seed1,spatial32_conditional,42401,saltpepper_prob_0.01,14.77031135559082,0.9818,0.9718,0.9918,0.99626638
cond_seed1,spatial32_conditional,42401,saltpepper_prob_0.05,33.611602020263675,0.9725,0.9578,0.9872,0.99262832
cond_seed1,spatial32_conditional,42401,sinusoid_amp_15,10.16884708404541,0.9832,0.9728,0.9936,0.99780304
cond_seed1,spatial32_conditional,42401,sinusoid_amp_30,19.899620819091798,0.9766,0.9588,0.9944,0.99627738
cond_seed2,spatial32_conditional,42401,clean,0.0,0.983,0.981,0.985,0.99808
cond_seed2,spatial32_conditional,42401,awgn_15,14.110708045959473,0.9838,0.9776,0.99,0.9973992
cond_seed2,spatial32_conditional,42401,awgn_50,43.03029174804688,0.9748,0.96,0.9896,0.99385236
cond_seed2,spatial32_conditional,42401,awgn_100,75.38477172851563,0.9061,0.935,0.8772,0.97476672
cond_seed2,spatial32_conditional,42401,corr_awgn_25,22.40528259277344,0.9741,0.971,0.9772,0.99480488
cond_seed2,spatial32_conditional,42401,corr_awgn_50,42.20136642456055,0.9326,0.9498,0.9154,0.98682778
cond_seed2,spatial32_conditional,42401,poisson_peak_30,27.48263053894043,0.9804,0.9706,0.9902,0.99620684
cond_seed2,spatial32_conditional,42401,poisson_peak_10,45.09446716308594,0.9716,0.9552,0.988,0.99197794
cond_seed2,spatial32_conditional,42401,speckle_std_0.1,12.08164176940918,0.9812,0.9736,0.9888,0.99792844
cond_seed2,spatial32_conditional,42401,speckle_std_0.25,28.551174926757813,0.9784,0.9652,0.9916,0.99571816
cond_seed2,spatial32_conditional,42401,saltpepper_prob_0.01,14.77031135559082,0.9807,0.9696,0.9918,0.99694836
cond_seed2,spatial32_conditional,42401,saltpepper_prob_0.05,33.611602020263675,0.976,0.9622,0.9898,0.9943398
cond_seed2,spatial32_conditional,42401,sinusoid_amp_15,10.16884708404541,0.9825,0.975,0.99,0.99737372
cond_seed2,spatial32_conditional,42401,sinusoid_amp_30,19.899620819091798,0.9732,0.9648,0.9816,0.99347984
cond_seed3,spatial32_conditional,42401,clean,0.0,0.984,0.978,0.99,0.998307
cond_seed3,spatial32_conditional,42401,awgn_15,14.110708045959473,0.9843,0.9734,0.9952,0.99783048
cond_seed3,spatial32_conditional,42401,awgn_50,43.03029174804688,0.9684,0.94,0.9968,0.99585724
cond_seed3,spatial32_conditional,42401,awgn_100,75.38477172851563,0.9278,0.9228,0.9328,0.98062648
cond_seed3,spatial32_conditional,42401,corr_awgn_25,22.40528259277344,0.9816,0.9688,0.9944,0.9955876
cond_seed3,spatial32_conditional,42401,corr_awgn_50,42.20136642456055,0.9521,0.9414,0.9628,0.98947752
cond_seed3,spatial32_conditional,42401,poisson_peak_30,27.48263053894043,0.9825,0.9696,0.9954,0.99644616
cond_seed3,spatial32_conditional,42401,poisson_peak_10,45.09446716308594,0.9684,0.9398,0.997,0.99403328
cond_seed3,spatial32_conditional,42401,speckle_std_0.1,12.08164176940918,0.9838,0.9732,0.9944,0.9979632
cond_seed3,spatial32_conditional,42401,speckle_std_0.25,28.551174926757813,0.9788,0.9618,0.9958,0.99569292
cond_seed3,spatial32_conditional,42401,saltpepper_prob_0.01,14.77031135559082,0.9806,0.9652,0.996,0.99691044
cond_seed3,spatial32_conditional,42401,saltpepper_prob_0.05,33.611602020263675,0.9756,0.9546,0.9966,0.99364816
cond_seed3,spatial32_conditional,42401,sinusoid_amp_15,10.16884708404541,0.9827,0.9704,0.995,0.997395
cond_seed3,spatial32_conditional,42401,sinusoid_amp_30,19.899620819091798,0.9811,0.9672,0.995,0.9958712
teacher_seed1,spatial32_large,633729,clean,0.0,0.9715,0.954,0.989,0.995334
teacher_seed1,spatial32_large,633729,awgn_15,14.110708045959473,0.9698,0.9506,0.989,0.99497664
teacher_seed1,spatial32_large,633729,awgn_50,43.03029174804688,0.9664,0.9448,0.988,0.99208444
teacher_seed1,spatial32_large,633729,awgn_100,75.38477172851563,0.928,0.937,0.919,0.98009976
teacher_seed1,spatial32_large,633729,corr_awgn_25,22.40528259277344,0.9611,0.9574,0.9648,0.99081304
teacher_seed1,spatial32_large,633729,corr_awgn_50,42.20136642456055,0.8865,0.971,0.802,0.97936788
teacher_seed1,spatial32_large,633729,poisson_peak_30,27.48263053894043,0.971,0.9522,0.9898,0.99396764
teacher_seed1,spatial32_large,633729,poisson_peak_10,45.09446716308594,0.9639,0.9486,0.9792,0.99145944
teacher_seed1,spatial32_large,633729,speckle_std_0.1,12.08164176940918,0.9712,0.9536,0.9888,0.99486816
teacher_seed1,spatial32_large,633729,speckle_std_0.25,28.551174926757813,0.9715,0.9542,0.9888,0.99412204
teacher_seed1,spatial32_large,633729,saltpepper_prob_0.01,14.77031135559082,0.9727,0.9554,0.99,0.99514988
teacher_seed1,spatial32_large,633729,saltpepper_prob_0.05,33.611602020263675,0.9713,0.953,0.9896,0.99419032
teacher_seed1,spatial32_large,633729,sinusoid_amp_15,10.16884708404541,0.9709,0.955,0.9868,0.99408808
teacher_seed1,spatial32_large,633729,sinusoid_amp_30,19.899620819091798,0.9405,0.9528,0.9282,0.98406464
teacher_seed2,spatial32_large,633729,clean,0.0,0.9705,0.951,0.99,0.995306
teacher_seed2,spatial32_large,633729,awgn_15,14.110708045959473,0.9679,0.9464,0.9894,0.99525228
teacher_seed2,spatial32_large,633729,awgn_50,43.03029174804688,0.9637,0.9376,0.9898,0.99216804
