model,true_sigma,claim,mean_supplied_sigma,accuracy,recall,specificity
exact,15.0,fixed_0,0.0,0.684,0.9998,0.3682
exact,15.0,fixed_15,15.0,0.9855,0.979,0.992
exact,15.0,fixed_25,25.0,0.9457,0.894,0.9974
exact,15.0,fixed_50,50.0,0.637,0.274,1.0
exact,15.0,fixed_75,75.0,0.508,0.016,1.0
exact,15.0,fixed_100,100.0,0.5006,0.0012,1.0
exact,15.0,oracle_effective_rms,14.111442184448242,0.9851,0.9798,0.9904
exact,50.0,fixed_0,0.0,0.5,1.0,0.0
exact,50.0,fixed_15,15.0,0.5,1.0,0.0
exact,50.0,fixed_25,25.0,0.6257,1.0,0.2514
exact,50.0,fixed_50,50.0,0.9396,0.8826,0.9966
exact,50.0,fixed_75,75.0,0.558,0.116,1.0
exact,50.0,fixed_100,100.0,0.5012,0.0024,1.0
exact,50.0,oracle_effective_rms,43.05827865600586,0.9741,0.9544,0.9938
exact,100.0,fixed_0,0.0,0.5,1.0,0.0
exact,100.0,fixed_15,15.0,0.5,1.0,0.0
exact,100.0,fixed_25,25.0,0.5,1.0,0.0
exact,100.0,fixed_50,50.0,0.5179,1.0,0.0358
exact,100.0,fixed_75,75.0,0.8614,0.937,0.7858
exact,100.0,fixed_100,100.0,0.5127,0.0254,1.0
exact,100.0,oracle_effective_rms,75.39556732177735,0.9118,0.9126,0.911
robust,15.0,fixed_0,0.0,0.9757,0.9618,0.9896
robust,15.0,fixed_15,15.0,0.964,0.9348,0.9932
robust,15.0,fixed_25,25.0,0.954,0.9134,0.9946
robust,15.0,fixed_50,50.0,0.9278,0.8586,0.997
robust,15.0,fixed_75,75.0,0.917,0.8362,0.9978
robust,15.0,fixed_100,100.0,0.9054,0.8128,0.998
robust,15.0,oracle_effective_rms,14.111442184448242,0.9641,0.9352,0.993
robust,50.0,fixed_0,0.0,0.8244,0.9862,0.6626
robust,50.0,fixed_15,15.0,0.9031,0.9734,0.8328
robust,50.0,fixed_25,25.0,0.9485,0.9594,0.9376
robust,50.0,fixed_50,50.0,0.9542,0.9154,0.993
robust,50.0,fixed_75,75.0,0.9436,0.8926,0.9946
robust,50.0,fixed_100,100.0,0.935,0.8738,0.9962
robust,50.0,oracle_effective_rms,43.05827865600586,0.9568,0.9206,0.993
robust,100.0,fixed_0,0.0,0.5446,1.0,0.0892
robust,100.0,fixed_15,15.0,0.6686,0.999,0.3382
robust,100.0,fixed_25,25.0,0.7698,0.9948,0.5448
robust,100.0,fixed_50,50.0,0.8945,0.9654,0.8236
robust,100.0,fixed_75,75.0,0.9247,0.9452,0.9042
robust,100.0,fixed_100,100.0,0.9337,0.9192,0.9482
robust,100.0,oracle_effective_rms,75.39556732177735,0.9268,0.943,0.9106
