model,corruption,accuracy,smooth_false_positive_rate,periodic_recall,stochastic_recall
exact,clean,0.9655,0.0,0.904,0.958
exact,awgn_15,0.9522,0.0,0.894,0.9148
exact,awgn_50,0.9029,0.0052,0.796,0.826
exact,awgn_100,0.744,0.3056,0.7932,0.794
exact,corr_awgn_25,0.9337,0.003,0.8616,0.8792
exact,corr_awgn_50,0.783,0.2978,0.8632,0.8644
robust,clean,0.8875,0.0,0.716,0.834
robust,awgn_15,0.8528,0.0,0.6572,0.754
robust,awgn_50,0.8313,0.012,0.6504,0.6988
robust,awgn_100,0.7201,0.3378,0.7648,0.7912
robust,corr_awgn_25,0.7292,0.435,0.8912,0.8956
robust,corr_awgn_50,0.5223,0.955,0.9996,0.9996
nonconditional,clean,0.7815,0.0,0.478,0.648
nonconditional,awgn_15,0.7755,0.0,0.4888,0.6132
nonconditional,awgn_50,0.7699,0.0048,0.49,0.5992
nonconditional,awgn_100,0.6779,0.1756,0.4952,0.5676
nonconditional,corr_awgn_25,0.6618,0.5774,0.8956,0.9064
nonconditional,corr_awgn_50,0.5152,0.9692,0.9992,1.0
